ISO_YSAMP_N,hypothesized ysamp_N,ISO_FISH_N,hypothesized old fish_N,ITEM_N,NUM,CATEGORY,GROUP,TAXON,SAMPLE_TYPE,N2_AMP,PER_N,D15N,CO2_AMP,PER_C,D13C,SD_D13C_VPDB,H2_AMP,PER_H,D2H,CO2_AREA,D18O_VSMOW,SD_D18O_VSMOW,D18O_VPDB,SD_D18O_VPDB,COMMENT,issue
SIC.HAL.T8.2014.002,,,,GM14065,,INVERT,INSECT,AESHNIDAE,,,10.61323286,5.80125836,,45.32776428,-34.64845217,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14066,,INVERT,INSECT,ISONYCHIIDAE,,,9.310280939,2.720678825,,47.38091474,-28.11662148,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14067,,INVERT,INSECT,ISONYCHIIDAE,,,9.537948767,2.76570191,,50.53433283,-29.05664484,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14068,,INVERT,INSECT,ISONYCHIIDAE,,,9.35311661,3.147897877,,48.62189542,-27.98050058,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14069,,INVERT,INSECT,EURYLOPHELLA,,,9.716080463,2.902772191,,51.4705469,-29.40977008,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14070,,INVERT,INSECT,EURYLOPHELLA,,,9.23788602,2.984814258,,52.80635922,-29.40977008,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14071,,INVERT,INSECT,EURYLOPHELLA,,,9.266653802,2.826733203,,48.93030416,-29.14739211,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14072,,INVERT,INSECT,PERLODIDAE,,,10.26517745,6.405568214,,46.97087275,-28.93531968,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14073,,INVERT,CRAYFISH,CAMBARIDAE,,,7.01271368,4.111391899,,34.76998496,-27.54057359,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14074,,INVERT,CRAYFISH,CAMBARIDAE,,,6.817858182,3.678169768,,36.60647435,-25.35080251,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14075,,INVERT,CRAYFISH,CAMBARIDAE,,,6.728669903,3.384018946,,40.00215613,-26.50388467,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14076,,INVERT,INSECT,LIMNEPHILIDAE,,,7.089401744,1.078836988,,47.85097407,-29.33579133,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14077,,INVERT,INSECT,LIMNEPHILIDAE,,,7.226420848,1.069832371,,47.67035533,-29.06848144,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14078,,INVERT,INSECT,LIMNEPHILIDAE,,,7.350052512,1.047821085,,48.0477695,-28.35236711,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14079,,INVERT,INSECT,PLECOPTERA,,,10.76451563,4.272474492,,47.49646925,-27.08585086,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2014.001,,,,GM14091,,INVERT,INSECT,PLECOPTERA,,,10.22107132,2.806722943,,50.8561027,-29.5034765,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2014.001,,,,GM14092,,INVERT,INSECT,LIMNEPHILIDAE,,,6.773168341,0.624604084,,49.44089665,-26.44371528,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2014.001,,,,GM14093,,INVERT,CRAYFISH,CAMBARIDAE,,,6.459608011,2.329478241,,31.68215251,-25.29457866,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2014.001,,,,GM14094,,INVERT,CRAYFISH,CAMBARIDAE,,,6.613237169,2.536584432,,37.4528625,-26.79782692,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2014.001,,,,GM14095,,INVERT,CRAYFISH,CAMBARIDAE,,,7.392780551,2.519575711,,36.834567,-25.41984935,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14096,,INVERT,INSECT,LIMNEPHILIDAE,,,7.505825503,0.603593311,,49.13128291,-27.65203491,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14097,,INVERT,INSECT,LIMNEPHILIDAE,,,7.758493826,0.400489172,,48.88558702,-27.3146918,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14098,,INVERT,INSECT,LIMNEPHILIDAE,,,7.217908267,1.048821598,,47.91571929,-27.76744177,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14099,,INVERT,INSECT,ISONYCHIIDAE,,,9.869571538,2.759698832,,51.92450614,-29.51925864,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14100,,INVERT,CRAYFISH,CAMBARIDAE,,,5.972582818,4.008339059,,29.94293429,-23.57432606,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14101,,INVERT,CRAYFISH,CAMBARIDAE,,,6.391393961,3.584121546,,38.23209323,-25.35869358,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14102,,INVERT,CRAYFISH,CAMBARIDAE,,,7.656848245,4.763726376,,35.61157911,-24.82210102,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14103,,INVERT,INSECT,AESHNIDAE,,,10.43288799,5.94133018,,50.58873989,-27.47941782,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14104,,INVERT,INSECT,AESHNIDAE,,,11.53147291,6.066394306,,46.6331426,-26.90731547,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14105,,INVERT,INSECT,AESHNIDAE,,,10.64716944,5.587148577,,48.55288529,-27.57115148,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14106,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.61451949,5.617163967,,49.92634226,-26.97143039,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14107,,INVERT,INSECT,PLECOPTERA,,,11.2985035,5.079888485,,48.63894973,-26.37072292,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14108,,INVERT,INSECT,LIMNEPHILIDAE,,,6.650605233,2.21241822,,48.83882017,-27.53958721,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14109,,INVERT,INSECT,LIMNEPHILIDAE,,,15.0726659,1.948282787,,105.3094598,-27.74475495,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14110,,INVERT,INSECT,LIMNEPHILIDAE,,,7.572584501,1.923269962,,47.69263898,-27.62145703,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14111,,INVERT,CRAYFISH,CAMBARIDAE,,,8.691167988,4.586635575,,37.29038599,-28.60685402,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14112,,INVERT,CRAYFISH,CAMBARIDAE,,,8.106642542,4.249462693,,40.31553604,-31.39437343,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14113,,INVERT,CRAYFISH,CAMBARIDAE,,,9.052731521,4.805416749,,42.70360092,-31.81636406,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14114,,INVERT,INSECT,HYDROPSYCHIDAE,,,9.786105027,4.768305415,,49.14838528,-32.98099825,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14115,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.56521814,5.009027581,,52.13253966,-33.09864805,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14116,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.68385294,5.022066698,,51.48948155,-33.09271613,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14117,,INVERT,INSECT,AESHNIDAE,,,9.713756876,4.303912237,,49.40163753,-33.3438342,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14118,,INVERT,INSECT,AESHNIDAE,,,10.29006623,4.007021566,,45.67535009,-32.53017211,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14119,,INVERT,INSECT,AESHNIDAE,,,11.0323941,4.049147945,,48.47394591,-33.2538667,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14120,,INVERT,INSECT,CORDULEGASTRIDAE,,,10.7680513,5.368104811,,47.531006,-30.81090314,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2014.001,,,,GM14121,,INVERT,INSECT,PLECOPTERA,,,10.97744105,3.686058679,,48.63072709,-25.71538142,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2014.001,,,,GM14122,,INVERT,INSECT,LIMNEPHILIDAE,,,6.695347879,0.364092793,,49.88518428,-26.70403523,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14123,,INVERT,CRAYFISH,CAMBARIDAE,,,6.467495787,2.921765803,,35.66880702,-27.32392116,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14124,,INVERT,CRAYFISH,CAMBARIDAE,,,8.26439395,5.117352555,,40.8732188,-28.02784267,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14125,,INVERT,CRAYFISH,CAMBARIDAE,,,7.332177047,4.316951355,,34.04696712,-25.48601373,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14126,,INVERT,INSECT,MEGALOPTERA,,,9.435891555,4.704112838,,48.49132805,-28.43516804,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14127,,INVERT,INSECT,MEGALOPTERA,,,10.57323394,3.564694587,,46.83977317,-30.33931528,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14128,,INVERT,INSECT,MEGALOPTERA,,,10.69619532,3.804413744,,48.41589936,-30.17421009,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14129,,INVERT,INSECT,AESHNIDAE,,,10.21968006,4.16750301,,50.60093011,-29.92309202,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14130,,INVERT,INSECT,AESHNIDAE,,,10.61870876,3.613842029,,47.53973462,-31.99234444,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14131,,INVERT,INSECT,CORDULEGASTRIDAE,,,10.71850527,4.935807922,,48.62440509,-28.35310978,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14132,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.27630863,4.490471916,,50.33473459,-31.1114539,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14133,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.85752708,4.533601304,,51.30448595,-31.07882832,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14134,,INVERT,INSECT,HYDROPSYCHIDAE,,,9.959157126,4.626881143,,47.38532368,-31.45352812,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14135,,INVERT,INSECT,PLECOPTERA,,,7.419324267,2.696088773,,38.2776524,-26.83552618,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14136,,INVERT,INSECT,ISONYCHIIDAE,,,9.679272858,2.608826988,,50.63634516,-30.20584701,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14137,,INVERT,INSECT,PLECOPTERA,,,10.45405453,3.093280346,,50.95845147,-30.09017452,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14138,,INVERT,INSECT,LIMNEPHILIDAE,,,6.302159842,1.330993492,,47.49344454,-28.63685342,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14139,,INVERT,INSECT,LIMNEPHILIDAE,,,6.567978963,0.934804928,,50.46421021,-28.38672401,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14140,,INVERT,INSECT,LIMNEPHILIDAE,,,7.000229633,1.060181055,,49.56386337,-28.06046825,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T9.2014.001,,,,GM14141,,INVERT,CRAYFISH,CAMBARIDAE,,,7.345655891,5.109328483,,40.53838598,-24.93928818,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T9.2014.001,,,,GM14142,,INVERT,CRAYFISH,CAMBARIDAE,,,7.871171533,6.816449841,,35.02617077,-23.86758745,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T9.2014.001,,,,GM14143,,INVERT,CRAYFISH,CAMBARIDAE,,,7.773954841,5.205617349,,37.49150315,-25.76184815,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T9.2014.001,,,,GM14144,,INVERT,INSECT,LIMNEPHILIDAE,,,6.976293576,1.792377643,,49.26751648,-27.73322384,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T9.2014.001,,,,GM14145,,INVERT,INSECT,LIMNEPHILIDAE,,,5.741253977,1.785356579,,46.35292631,-27.66995,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T9.2014.001,,,,GM14146,,INVERT,INSECT,LIMNEPHILIDAE,,,5.880298951,1.30190623,,45.42223013,-27.37038789,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14147,,INVERT,INSECT,LEUCTRIDAE,,,5.102401253,2.152457882,,26.62656267,-25.87752064,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14148,,INVERT,INSECT,CORDULEGASTRIDAE,,,10.96982825,5.887663485,,47.45394748,-27.52659519,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14149,,INVERT,CRAYFISH,CAMBARIDAE,,,6.755720256,2.983952362,,35.59018247,-24.29171994,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14150,,INVERT,CRAYFISH,CAMBARIDAE,,,7.270262597,2.871615352,,41.4690776,-24.80680857,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14151,,INVERT,CRAYFISH,CAMBARIDAE,,,7.069024012,2.941825983,,34.70031464,-23.35941939,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14152,,INVERT,INSECT,PLECOPTERA,,,11.01948509,3.823470915,,47.19423629,-27.11432656,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14153,,INVERT,CRAYFISH,CAMBARIDAE,,,7.728420103,3.782347545,,43.60028472,-26.26210697,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14154,,INVERT,CRAYFISH,CAMBARIDAE,,,6.894825852,4.27081294,,33.67737057,-25.23094105,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T8.2014.002,,,,GM14155,,INVERT,INSECT,CORDULEGASTRIDAE,,,10.90589966,4.742227181,,54.36141088,-28.61905765,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.2014.001,,,,GM14156,,INVERT,ISOPOD,ASELLIDAE,,,7.637536476,1.487462899,,35.50209379,-26.45390581,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.2014.001,,,,GM14157,,INVERT,INSECT,AESHNIDAE,,,10.4642032,2.807422774,,50.79121736,-26.41337101,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.2014.001,,,,GM14158,,INVERT,INSECT,AESHNIDAE,,,10.60770311,3.313942331,,51.33686515,-27.57800519,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.2014.001,,,,GM14159,,INVERT,INSECT,AESHNIDAE,,,10.57844578,3.396189071,,48.65243787,-26.81970772,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.2014.001,,,,GM14160,,INVERT,CRAYFISH,CAMBARIDAE,,,7.160556454,3.131394689,,36.67912179,-24.4765982,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14161,,INVERT,INSECT,AESHNIDAE,,,10.64620374,6.054162983,,47.93342029,-27.44651423,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14162,,INVERT,INSECT,AESHNIDAE,,,11.36900971,5.755266294,,50.17073083,-27.30118213,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14163,,INVERT,INSECT,AESHNIDAE,,,12.71241891,6.306921257,,49.68434713,-26.80586657,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14164,,INVERT,CRAYFISH,CAMBARIDAE,,,6.245518096,3.485456874,,35.76973465,-25.21907721,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14165,,INVERT,CRAYFISH,CAMBARIDAE,,,7.560693571,4.216650452,,38.01952332,-24.86711645,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14166,,INVERT,CRAYFISH,CAMBARIDAE,,,7.608530437,5.201605313,,34.71034267,-25.04705144,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T9.2014.001,,,,GM14167,,INVERT,INSECT,LIMNEPHILIDAE,,,6.291807093,2.167503017,,44.82154181,-27.32787578,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T9.2014.001,,,,GM14168,,INVERT,CRAYFISH,CAMBARIDAE,,,7.518156041,2.557673527,,36.71073911,-25.22896374,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14174,,INVERT,INSECT,LEUCTRIDAE,,,11.21306171,2.464393688,,48.1233877,-28.643774,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14175,,INVERT,INSECT,AESHNIDAE,,,11.814816,3.55165547,,48.72048882,-30.25626836,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14176,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.72060188,3.690070715,,49.17502535,-30.21869951,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14177,,INVERT,INSECT,HYDROPSYCHIDAE,,,11.23749046,3.923771817,,49.64086245,-30.22364278,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14178,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.89296347,4.246740723,,48.18812607,-30.20090374,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14179,,INVERT,CRAYFISH,CAMBARIDAE,,,7.735754229,3.53059228,,33.7095142,-27.68774576,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14180,,INVERT,CRAYFISH,CAMBARIDAE,,,8.192951864,3.041123877,,35.62317061,-28.86819841,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14181,,INVERT,CRAYFISH,CAMBARIDAE,,,8.39061376,3.934804917,,35.38102551,-27.20231674,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14182,,INVERT,CRAYFISH,CAMBARIDAE,,,8.339354902,4.536610331,,42.66654476,-31.67300926,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14183,,INVERT,CRAYFISH,CAMBARIDAE,,,8.011428533,4.515547141,,37.98614642,-31.75506753,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14184,,INVERT,CRAYFISH,CAMBARIDAE,,,8.563398038,4.888666498,,38.80509365,-31.09662409,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14185,,INVERT,INSECT,AESHNIDAE,,,9.977710117,4.61986008,,43.78980386,-32.05660694,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14186,,INVERT,INSECT,AESHNIDAE,,,11.79983866,4.789368605,,45.07742492,-30.87615429,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14187,,INVERT,INSECT,CORDULEGASTRIDAE,,,11.74388181,4.798395686,,46.5656988,-30.48563604,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14188,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.29913377,5.091274321,,49.7522839,-33.17279709,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14189,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.11272054,4.79438365,,46.62898846,-32.63200345,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2014.002,,,,GM14190,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.7508508,4.66098345,,50.54805721,-33.11545517,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2014.001,,,,GM14191,,INVERT,INSECT,LIMNEPHILIDAE,,,10.6439915,0.601805932,,49.47477077,-26.42918947,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2014.001,,,,GM14192,,INVERT,INSECT,PLECOPTERA,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2014.001,,,,GM14193,,INVERT,CRAYFISH,CAMBARIDAE,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2014.001,,,,GM14194,,INVERT,CRAYFISH,CAMBARIDAE,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2014.001,,,,GM14195,,INVERT,CRAYFISH,CAMBARIDAE,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2014.001,,,,GM14208,,INVERT,CRAYFISH,CAMBARIDAE,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2014.001,,,,GM14209,,INVERT,CRAYFISH,CAMBARIDAE,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2014.001,,,,GM14210,,INVERT,CRAYFISH,CAMBARIDAE,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2015.001,,,,GM15014,,INVERT,INSECT,LIMNEPHILIDAE,,,6.479872627,1.093274956,,43.7651766,-25.88834084,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2015.001,,,,GM15015,,INVERT,CRAYFISH,CAMBARIDAE,,,6.315552527,2.074574451,,32.75793539,-25.68202091,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2015.001,,,,GM15016,,INVERT,CRAYFISH,CAMBARIDAE,,,6.28772573,3.018170851,,32.78237619,-27.21861313,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2015.001,,,,GM15017,,INVERT,INSECT,SIALIDAE,,,10.78805585,6.078235631,,51.64874166,-25.37941835,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2015.001,,,,GM15018,,INVERT,INSECT,PLECOPTERA,,,10.70473682,3.533786162,,47.54670052,-26.50435319,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T16.2015.001,,,,GM15019,,DETRITUS,,LEAF_LITTER,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2015.001,,,,GM15020,,INVERT,INSECT,LIMNEPHILIDAE,,,7.774296326,0.594982689,,49.63597102,-26.20273311,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2015.001,,,,GM15021,,INVERT,INSECT,TIPULIDAE,,,9.547439621,5.680824621,,42.67345749,-24.54333141,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2015.001,,,,GM15022,,INVERT,INSECT,PLECOPTERA,,,9.814406984,3.305529581,,43.90326288,-26.07894115,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T24.2015.001,,,,GM15023,,DETRITUS,,LEAF_LITTER,,,,,,,,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15024,,INVERT,CRAYFISH,CAMBARIDAE,,,6.826147457,4.426432431,,37.1352802,-25.41773491,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15025,,INVERT,CRAYFISH,CAMBARIDAE,,,6.887138516,4.754551266,,36.70198931,-25.00804248,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15026,,INVERT,CRAYFISH,CAMBARIDAE,,,6.712550516,4.430508442,,34.12949951,-24.73000182,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15027,,INVERT,INSECT,AESHNIDAE,,,9.034683387,7.099276228,,46.96951393,-26.9513797,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15028,,INVERT,INSECT,AESHNIDAE,,,9.045501912,6.546976823,,47.18397325,-27.28836891,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15029,,INVERT,INSECT,LIMNEPHILIDAE,,,6.936564441,2.180550721,,47.29836517,-27.06338195,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15030,,INVERT,INSECT,LIMNEPHILIDAE,,,6.907335155,1.760721653,,46.15625678,-26.94548484,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15031,,INVERT,INSECT,LIMNEPHILIDAE,,,7.223962326,1.88503997,,47.37088396,-26.94548484,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15032,,INVERT,INSECT,HEPTAGENIIDAE,,,9.292465556,4.918610683,,44.34693344,-26.93467761,,,,,,,,,,Added from Driscoll isotope files,no issue
SIC.HAL.T6.2015.002,,,,GM15033,,INVERT,INSECT,ISONYCHIIDAE,,,10.17923033,4.782064336,,54.97683011,-27.2441575,,,,,,,,,,Added from Driscoll isotope files,no issue
