ISO_YSAMP_N,ISO_FISH_N,ITEM_N,NUM,CATEGORY,GROUP,TAXON,SAMPLE_TYPE,N2_AMP,PER_N,D15N,CO2_AMP,PER_C,D13C,SD_D13C_VPDB,H2_AMP,PER_H,D2H,CO2_AREA,D18O_VSMOW,SD_D18O_VSMOW,D18O_VPDB,SD_D18O_VPDB,COMMENT
SIC.HAL.T6.2016.002,,GM16098,,INVERT,INSECT,PLECOPTERA,,,10.340110363,3.641349538,,51.030359607,-27.95874871,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16099,,INVERT,INSECT,PHRYGANEIDAE,,,9.2182632099,4.110452959,,52.317417875,-31.68288637,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16100,,INVERT,INSECT,AESHNIDAE,,,9.8599108236,4.096237703,,49.425657172,-31.93965587,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16101,,INVERT,INSECT,LIBELLULIDAE,,,10.602026472,3.540827377,,48.822843128,-30.13246906,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16102,,INVERT,CRAYFISH,CAMBARIDAE,,,7.9665572821,4.579556379,,39.125975773,-29.61893008,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16103,,INVERT,INSECT,SIMULIIDAE,,,10.304898014,2.90215627,,46.544137287,-32.58549974,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16104,,INVERT,INSECT,SIALIDAE,,,9.7248121172,4.700386048,,48.325281783,-28.38604451,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16105,,INVERT,CRAYFISH,CAMBARIDAE,,,6.3672208805,3.628149658,,34.1654887,-28.05283219,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16106,,INVERT,CRAYFISH,CAMBARIDAE,,,7.5867933338,5.045613673,,36.919949995,-27.59711535,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16107,,INVERT,CRAYFISH,CAMBARIDAE,,,8.2621998442,4.051367477,,40.222845678,-28.84386912,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16108,,INVERT,INSECT,AESHNIDAE,,,9.5619553949,4.956260641,,50.936945734,-30.52546359,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16109,,INVERT,INSECT,AESHNIDAE,,,9.4055197414,4.710539802,,50.328605602,-30.16481026,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16110,,INVERT,INSECT,AESHNIDAE,,,12.005533804,4.111638691,,48.682886007,-29.10811418,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16111,,INVERT,INSECT,LIBELLULIDAE,,,10.58051429,3.166153865,,48.57107736,-30.30789555,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16112,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.89529613,4.172390856,,48.622613742,-30.07856707,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16113,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.78618208,4.293220525,,48.119055997,-30.05798631,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16114,,INVERT,INSECT,SIMULIIDAE,,,10.449014264,2.494990747,,45.906284522,-30.56760515,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16115,,INVERT,INSECT,LIMNEPHILIDAE,,,7.0075396048,1.320201445,,48.315580097,-29.3866615,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16116,,INVERT,INSECT,SIALIDAE,,,10.925549489,4.627279021,,46.878926739,-27.8960264,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16117,,INVERT,INSECT,HEPTAGENIIDAE,,,9.2885546802,2.874741135,,47.421919278,-29.20633483,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16118,,INVERT,INSECT,LEUCTRIDAE,,,11.921027074,2.885910264,,50.154101275,-29.16321324,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16119,,INVERT,INSECT,LIMNEPHILIDAE,,,6.5630178925,2.026902702,,46.088445871,-29.39548182,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16120,,INVERT,INSECT,LIMNEPHILIDAE,,,5.706101242,2.239116154,,41.880439713,-29.48466512,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16121,,INVERT,INSECT,LIMNEPHILIDAE,,,6.4760113452,1.842104384,,44.617533553,-29.16909345,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16122,,INVERT,INSECT,ISONYCHIIDAE,,,9.7089859754,3.37125969,,49.98095128,-30.75773218,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16123,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.487661339,5.76551481,,48.134298689,-29.15733302,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16124,,INVERT,CRAYFISH,CAMBARIDAE,,,6.444556715,4.231282627,,33.503562543,-27.21098107,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16125,,INVERT,CRAYFISH,CAMBARIDAE,,,8.6413989419,5.189796976,,39.191752457,-28.32430223,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16126,,INVERT,CRAYFISH,CAMBARIDAE,,,6.3006143414,1.545614777,,30.75156642,-25.07842225,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16127,,INVERT,INSECT,CORDULEGASTRIDAE,,,10.497353204,6.847904953,,47.862763773,-26.66608093,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16128,,INVERT,INSECT,CORDULEGASTRIDAE,,,9.3997306441,5.895482857,,44.93229121,-27.69021879,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16129,,INVERT,INSECT,CORDULEGASTRIDAE,,,10.852831877,6.090434928,,48.578827291,-26.91108999,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16130,,INVERT,INSECT,HEPTAGENIIDAE,,,10.532999953,4.107406832,,48.790798005,-31.90633463,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16131,,INVERT,CRAYFISH,CAMBARIDAE,,,6.5982082872,4.922753254,,35.610835103,-26.27896662,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16132,,INVERT,CRAYFISH,CAMBARIDAE,,,7.704105137,6.130034567,,36.622303202,-25.66840405,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16133,,INVERT,INSECT,ASELLIDAE,,,8.0140534587,4.647586529,,35.129329192,-26.92089035,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16134,,INVERT,INSECT,ISONYCHIIDAE,,,9.201726316,3.363136687,,49.412106958,-31.53392087,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16135,,INVERT,INSECT,PLECOPTERA,,,10.726211871,3.880978125,,47.915940804,-29.76593552,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16136,,INVERT,INSECT,LIMNEPHILIDAE,,,6.1322251916,1.756975173,,48.094211516,-28.11974495,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16137,,INVERT,INSECT,LIMNEPHILIDAE,,,5.9796890263,2.14773237,,46.83145976,-28.46934759,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16138,,INVERT,INSECT,LIMNEPHILIDAE,,,6.2274661358,1.959887927,,45.694749869,-28.5183494,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16139,,INVERT,CRAYFISH,CAMBARIDAE,,,7.1647635614,5.003983283,,32.527757867,-27.03653463,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16140,,INVERT,CRAYFISH,CAMBARIDAE,,,4.9272267815,4.167313979,,23.775511224,-26.03591764,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16141,,INVERT,CRAYFISH,CAMBARIDAE,,,7.9886999004,4.983675776,,35.314629871,-27.1413985,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16142,,INVERT,INSECT,AESHNIDAE,,,9.9193614296,5.309611269,,50.050074186,-29.14165244,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16143,,INVERT,INSECT,CORDULEGASTRIDAE,,,10.698589951,5.499486463,,48.191291377,-26.67098111,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16144,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.558622686,4.396650024,,52.368507556,-28.65565247,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16145,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.598010468,4.965399019,,47.735724533,-28.54383034,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16146,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.639524588,4.798877459,,48.787396775,-28.70259621,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16147,,INVERT,INSECT,HEPTAGENIIDAE,,,10.056576713,3.370244315,,43.948558906,-26.91207003,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16148,,INVERT,INSECT,LEUCTRIDAE,,,10.835325123,3.995715542,,47.230341003,-27.3550464,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16149,,INVERT,CRAYFISH,CAMBARIDAE,,,8.5951375375,5.43450244,,37.769045892,-27.08651647,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16150,,INVERT,CRAYFISH,CAMBARIDAE,,,7.7813441259,2.644250926,,34.647825468,-24.45413917,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16151,,INVERT,CRAYFISH,CAMBARIDAE,,,8.2588458962,5.842683338,,37.061926861,-25.93595394,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16152,,INVERT,INSECT,ASELLIDAE,,,7.8886304319,4.253620886,,33.609734206,-27.60887578,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16153,,INVERT,INSECT,AESHNIDAE,,,9.910423173,5.544162979,,50.007271013,-27.97540933,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16154,,INVERT,INSECT,ISONYCHIIDAE,,,10.224394133,2.978309422,,47.724974911,-30.8233946,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T9.2016.001,,GM16155,,INVERT,INSECT,LIMNEPHILIDAE,,,7.8651611898,2.347761318,,44.854558825,-29.01130762,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16159,,INVERT,CRAYFISH,CAMBARIDAE,,,6.8463858345,4.621186769,,31.705848715,-24.96669812,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16160,,INVERT,CRAYFISH,CAMBARIDAE,,,6.6983259522,3.896208756,,33.139825473,-25.35185235,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16161,,INVERT,CRAYFISH,CAMBARIDAE,,,7.382755097,4.12771434,,33.544142561,-24.52176167,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16162,,INVERT,INSECT,AESHNIDAE,,,10.597515042,6.119880814,,49.410615542,-27.50401191,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16163,,INVERT,INSECT,AESHNIDAE,,,11.148356943,6.359509401,,47.468892732,-27.23646202,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16164,,INVERT,INSECT,AESHNIDAE,,,11.487766319,6.113788561,,46.88882744,-26.75036405,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16165,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.319268685,4.717647429,,50.138755076,-27.31388488,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16166,,INVERT,INSECT,HEPTAGENIIDAE,,,10.279443124,4.019069175,,48.576964557,-27.54125328,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16167,,INVERT,INSECT,LEUCTRIDAE,,,,,,,,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16171,,INVERT,CRAYFISH,CAMBARIDAE,,,7.0674652225,3.542858127,,36.036597976,-28.57911165,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16172,,INVERT,CRAYFISH,CAMBARIDAE,,,7.4492674371,3.788578967,,35.748338619,-28.43896647,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16173,,INVERT,CRAYFISH,CAMBARIDAE,,,8.6540781974,4.264790015,,37.7027355,-28.58695194,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16174,,INVERT,INSECT,CORDULEGASTRIDAE,,,11.510305394,3.834270858,,45.670830519,-28.65261436,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16175,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.623711352,4.162237102,,50.425209541,-31.32615319,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16176,,INVERT,INSECT,HYDROPSYCHIDAE,,,9.9653521024,4.227221126,,49.654766471,-31.28989185,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16177,,INVERT,INSECT,HYDROPSYCHIDAE,,,9.8412358482,4.272913018,,47.910267155,-31.38495536,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16178,,INVERT,INSECT,LEUCTRIDAE,,,11.396200997,3.376336567,,48.426472589,-29.49250541,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16179,,INVERT,INSECT,SIALIDAE,,,10.212655496,4.040392058,,50.309020704,-28.53501002,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16180,,INVERT,INSECT,AESHNIDAE,,,11.859343297,4.407957942,,45.152401183,-28.69377588,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16181,,INVERT,INSECT,AESHNIDAE,,,12.127677749,4.360235299,,46.999280448,-28.85548186,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16182,,INVERT,INSECT,PHRYGANEIDAE,,,10.23926225,4.023130677,,44.762912906,-29.26611704,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16183,,INVERT,CRAYFISH,CAMBARIDAE,,,7.7174724525,3.492089359,,36.112689891,-26.93559089,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16184,,INVERT,CRAYFISH,CAMBARIDAE,,,8.2093564622,4.041407433,,35.754679818,-26.04473796,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16185,,INVERT,CRAYFISH,CAMBARIDAE,,,7.3606470776,3.676887676,,36.116859238,-29.55130758,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16186,,INVERT,INSECT,AESHNIDAE,,,10.538207135,3.357044435,,49.559035335,-29.43860342,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16187,,INVERT,INSECT,AESHNIDAE,,,10.928869159,3.430151461,,49.129004046,-29.53464697,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16188,,INVERT,INSECT,AESHNIDAE,,,10.326628783,3.572304013,,49.263850658,-29.54150722,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16189,,INVERT,INSECT,CORDULEGASTRIDAE,,,11.184254078,3.930731518,,44.022632177,-27.88132585,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16190,,INVERT,INSECT,LIMNEPHILIDAE,,,8.7694186209,0.90897442,,51.047194422,-29.11127132,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16191,,INVERT,INSECT,HYDROPSYCHIDAE,,,9.3458917811,3.481935605,,46.332611752,-29.60422954,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16192,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.734970417,3.785532841,,48.336763791,-29.55326765,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16193,,INVERT,INSECT,HYDROPSYCHIDAE,,,10.736624471,3.980484911,,49.591845451,-29.61206983,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16194,,INVERT,INSECT,SIALIDAE,,,10.980929741,3.45248972,,48.347553041,-27.0629956,,,,,,,,,,Added from Driscoll isotope files
SIC.HAL.T6.2016.002,,GM16195,,INVERT,INSECT,LEUCTRIDAE,,,10.617002872,2.8805698,,45.620471874,-28.14980943,,,,,,,,,,Added from Driscoll isotope files
SIC.LMFS.2022.001,ST.LMFS.090122.MORT.005,HRN-1-22,1,VERT,FISH,ST,OTOLITH,,,,,,-11.38,0,,,,69,,,-7,0,
SIC.LMFS.2022.001,ST.LMFS.090122.MORT.006,HRN-2-22,1,VERT,FISH,ST,OTOLITH,,,,,,-11.86,0,,,,66,,,-8,0,
SIC.LML.1998.001,,I1,,VERT,FISH,SS,,,,10.14407599,,,-23.23821472,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.1998.001,,I10,,VERT,FISH,RS,,,,9.101310857,,,-21.97635674,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.019,,I100,3,INVERT,INSECT,LIMNEPHILIDAE,,,,2.891407111,,,-19.23,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.020,,I101,,INVERT,INSECT,LIBELLULIDAE,,,,4.690590493,,,-20.66152275,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.020,,I102,,INVERT,INSECT,HEPTAGENIIDAE,,,,2.260852272,,,-22.53050888,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.020,,I103,2,INVERT,INSECT,GOMPHIDAE,,,,4.742223527,,,-23.45875443,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.020,,I104,3,INVERT,AMPHIPOD,AMPHIPODA,,,,,,,,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.017,,I105,3,INVERT,INSECT,HEPTAGENIIDAE,,,,1.728483525,,,-23.70780075,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.017,,I106,,INVERT,CRAYFISH,CR,,,,4.645290348,,,-22.45774925,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.017,,I107,9,INVERT,AMPHIPOD,AMPHIPODA,,,,1.981884798,,,-22.37874496,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.022,,I108,,INVERT,INSECT,GOMPHIDAE,,,,5.051004894,,,-18.24266708,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.022,,I109,,INVERT,SNAIL,,,,,5.821537732,,,-28.1988839,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.FBL.2002.003,,I11,,VERT,FISH,LT,,,,10.24285066,,,-29.2584272,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.005,,I110,25,INVERT,INSECT,HEXAGENIIDAE,,,,4.916089803,,,-27.05849541,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.021,,I111,,INVERT,INSECT,GOMPHIDAE,,,,5.623164904,,,-20.87496269,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.009,,I112,,INVERT,INSECT,LIMNEPHILIDAE,,,,0.915688595,,,-29.28654945,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.009,,I113,10,INVERT,INSECT,EPHEMEROPTERA,,,,1.841710517,,,-28.45935143,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.017,,I114,,INVERT,INSECT,GOMPHIDAE,,,,4.696475151,,,-24.31,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.016,,I115,,INVERT,INSECT,HEPTAGENIIDAE,,,,5.769600316,,,-21.16,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.005,,I116,50,INVERT,INSECT,DIPTERA,,,,6.582916205,,,-30.62,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.008,,I117,25,INVERT,ZOOP,DAPHNIA,,,,,,,,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.023,,I118,,INVERT,MUSSEL,,,,,4.898658264,,,-24.54581352,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.024,,I119,,ALGA,PERI,,,,,5.781523495,,,-20.02776237,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.010,,I12,,INVERT,MUSSEL,,,,,4.973638616,,,-25.76101898,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.024,,I120,,ALGA,PHYTO,,,,,,,,,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.022,,I121,,ALGA,PERI,,,,,5.495084344,,,-20.52643105,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.022,,I122,,ALGA,PHYTO,,,,,,,,,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.015,,I123,5,INVERT,INSECT,COENGRIONIDAE,,,,6.732546335,,,-24.05652519,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.015,,I124,,INVERT,INSECT,EPHEMEROPTERA,,,,2.218579179,,,-20.05,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.015,,I125,,INVERT,SNAIL,,,,,5.165423388,,,-17.84534737,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.015,,I126,,INVERT,SNAIL,,,,,5.076715476,,,-18.64257713,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.015,,I127,,INVERT,INSECT,GOMPHIDAE,,,,5.210309201,,,-22.80366035,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.011,,I128,,INVERT,INSECT,GOMPHIDAE,,,,5.854185191,,,-20.77586456,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.011,,I129,,INVERT,INSECT,LIMNEPHILIDAE,,,,1.074516567,,,-27.16134354,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.007,,I13,,INVERT,CRAYFISH,CR,,,,7.638663552,,,-18.21811699,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.004,,I130,,VERT,FISH,RS,,,,9.743634265,,,-23.61989876,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.006,,I131,,INVERT,INSECT,DIPTERA,,,,7.437008896,,,-29.4193277,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.002,,I132,,INVERT,INSECT,DIPTERA,,,,6.842855265,,,-27.47608276,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.003,,I14,,VERT,FISH,RS,,,,10.29518852,,,-22.96002029,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.007,,I15,,VERT,FISH,MM,,,,8.116107232,,,-25.32000786,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.007,,I16,,VERT,FISH,CC,,,,9.111829912,,,-23.06772636,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.007,,I17,,VERT,FISH,BB,,,,9.995692631,,,-19.35290741,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.011,,I18,,VERT,FISH,CC,,,,8.939662008,,,-23.11727577,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.011,,I19,,VERT,FISH,MM,,,,8.539849065,,,-25.13919884,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.1999.002,,I2,,VERT,FISH,SMB,,,,8.28,,,-20.86,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.011,,I20,,VERT,FISH,CS,,,,9.913116731,,,-22.11486649,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.012,,I21,,VERT,FISH,BND,,,,10.24587695,,,-25.95620018,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.011,,I22,,VERT,FISH,PS,,,,10.05492902,,,-21.8135054,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.014,,I23,,VERT,FISH,SS,,,,10.25644664,,,-24.38638168,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2002.011,,I24,,INVERT,CRAYFISH,CR,,,,7.006817931,,,-24.48049759,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.014,,I25,,VERT,FISH,WS,,,,7.825167038,,,-15.04426067,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.016,,I26,,VERT,FISH,LT,,,,9.042749657,,,-28.66479546,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.014,,I27,,VERT,FISH,CS,,,,8.650518372,,,-22.23955208,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.012,,I28,,VERT,FISH,CC,,,,9.045927324,,,-19.53538757,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.012,,I29,,VERT,FISH,PS,,,,9.509421879,,,-19.00001305,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.001,,I3,,VERT,FISH,LT,,,,11.34123028,,,-26.73028206,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.012,,I30,,VERT,FISH,WS,,,,7.971064918,,,-19.33013504,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.012,,I31,,VERT,FISH,MM,,,,7.742759512,,,-24.83728462,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.014,,I32,,VERT,FISH,CC,,,,8.670349382,,,-21.57946556,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.004,,I33,,VERT,FISH,PS,,,,9.612502911,,,-22.91064507,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.014,,I34,,VERT,FISH,SS,,,,11.76005667,,,-24.71323174,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.014,,I35,,VERT,FISH,BB,,,,8.922343812,,,-17.6562677,,,,,,,,,,Added from 'JML ISOTOPE DATA'
SIC.LML.2001.013,,I36,,VERT,FISH,RWF,,,,10.02015795,,,-22.79560143,,,,,,,,,,Added from 'JML ISOTOPE DATA'
